nb,od,thickness,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,bld kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,rtj degree
0+1/2,95,12.7,51.0,5.54,R11,3,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,1.4 kg,34.14,5.54,7.14,0.54 kg,23*
0+3/4,115,14.3,63.5,6.35,13,4,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.4 kg,42.88,6.35,8.74,0.79 kg,23*
1,125,15.9,70.0,6.35,16,4,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.4 kg,50.8,6.35,8.74,0.79 kg,23*
1+1/4,135,17.5,79.5,6.35,18,4,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,1.8 kg,60.33,6.35,8.74,0.82 kg,23*
1+1/2,155,19.1,90.5,6.35,20,4,114.3,4 Holes,3/4'',100,7/8'' Dia,M20,2.7 kg,68.27,6.35,8.74,1.45 kg,23*
2,165,20.7,108.0,7.92,23,6,127.0,8 Holes,5/8'',100,3/4'' Dia,M16,3.7 kg,82.55,7.92,11.91,1.69 kg,23*
2+1/2,190,23.9,127.0,7.92,26,6,149.2,8 Holes,3/4'',115,7/8'' Dia,M20,5.5 kg,101.6,7.92,11.91,3.16 kg,23*
3,210,27.0,146.0,7.92,31,6,168.3,8 Holes,3/4'',120,7/8'' Dia,M20,7.3 kg,123.83,7.92,11.91,3.24 kg,23*
3+1/2,230,28.6,159.0,7.92,34,6,184.2,8 Holes,3/4'',125,7/8'' Dia,M20,9.6 kg,131.78,7.92,11.91,3.32 kg,23*
4,255,30.2,175.0,7.92,37,6,200.0,8 Holes,3/4'',125,7/8'' Dia,M20,12.3 kg,149.23,7.92,11.91,3.32 kg,23*
5,280,33.4,210.0,7.92,41,6,235.0,8 Holes,3/4'',135,7/8'' Dia,M20,15.9 kg,180.98,7.92,11.91,3.48 kg,23*
6,320,35.0,241.0,7.92,45,6,269.9,12 Holes,3/4'',140,7/8'' Dia,M20,22.7 kg,211.12,7.92,11.91,5.36 kg,23*
8,380,39.7,302.0,7.92,49,6,330.2,12 Holes,7/8'',150,1'' Dia,M24,36.0 kg,269.88,7.92,11.91,8.65 kg,23*
10,445,46.1,356.0,7.92,53,6,387.4,16 Holes,1'',170,1+1/8'' Dia,M27,57.0 kg,323.85,7.92,11.91,16.87 kg,23*
12,520,49.3,413.0,7.92,57,6,450.8,16 Holes,1+1/8'',185,1+1/4'' Dia,M30,84.0 kg,381.0,7.92,11.91,22.87 kg,23*
14,585,52.4,457.0,7.92,61,6,514.4,20 Holes,1+1/8'',190,1+1/4'' Dia,M30,113.0 kg,419.1,7.92,11.91,29.07 kg,23*
16,650,55.6,508.0,7.92,65,6,571.5,20 Holes,1+1/4'',205,1+3/8'' Dia,M33,134.0 kg,469.9,7.92,11.91,37.94 kg,23*
18,710,58.8,575.0,7.92,69,6,628.6,24 Holes,1+1/4'',210,1+3/8'' Dia,M33,181.0 kg,533.4,7.92,11.91,46.22 kg,23*
20,775,62.0,635.0,9.53,73,6,685.8,24 Holes,1+1/4'',220,1+3/8'' Dia,M33,230.0 kg,584.2,9.53,13.49,47.59 kg,23*
24,915,68.3,749.0,11.13,77,6,812.8,24 Holes,1+1/2'',255,1+5/8'' Dia,M39,359.0 kg,692.15,11.13,16.66,81.11 kg,23*
