nb,od,hub-x,lapped thk,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,Lapped Bore,bolts wt rf,lapped thk.1,Stub-End see,Buttwelded Fittings
0+1/2,95,38,22,66.7,4 Holes,1/2'',65,5/8'' Dia,M14,1.2 kg,22.9,0.5 kg,14.3,Stub-End see,Buttwelded Fittings
0+3/4,115,48,25,82.6,4 Holes,5/8'',75,3/4'' Dia,M16,1.4 kg,28.2,0.71 kg,15.9,Stub-End see,Buttwelded Fittings
1,125,54,27,88.9,4 Holes,5/8'',75,3/4'' Dia,M16,1.4 kg,34.9,0.71 kg,17.5,Stub-End see,Buttwelded Fittings
1+1/4,135,64,27,98.4,4 Holes,5/8'',85,3/4'' Dia,M16,1.8 kg,43.7,0.77 kg,19.1,Stub-End see,Buttwelded Fittings
1+1/2,155,70,30,114.3,4 Holes,3/4'',90,7/8'' Dia,M20,2.7 kg,50.0,1.37 kg,20.7,Stub-End see,Buttwelded Fittings
2,165,84,33,127.0,8 Holes,5/8'',90,3/4'' Dia,M16,3.2 kg,62.5,1.59 kg,22.3,Stub-End see,Buttwelded Fittings
2+1/2,190,100,38,149.2,8 Holes,3/4'',100,7/8'' Dia,M20,4.6 kg,75.4,2.91 kg,25.4,Stub-End see,Buttwelded Fittings
3,210,117,43,168.3,8 Holes,3/4'',110,7/8'' Dia,M20,5.9 kg,91.4,3.08 kg,28.6,Stub-End see,Buttwelded Fittings
3+1/2,230,133,44,184.2,8 Holes,3/4'',110,7/8'' Dia,M20,7.7 kg,104.1,3.08 kg,30.2,Stub-End see,Buttwelded Fittings
4,255,146,48,200.0,8 Holes,3/4'',115,7/8'' Dia,M20,10.0 kg,116.8,3.16 kg,31.8,Stub-End see,Buttwelded Fittings
5,280,178,51,235.0,8 Holes,3/4'',120,7/8'' Dia,M20,12.7 kg,144.4,3.24 kg,35.0,Stub-End see,Buttwelded Fittings
6,320,206,52,269.9,12 Holes,3/4'',120,7/8'' Dia,M20,17.7 kg,171.4,4.86 kg,36.6,Stub-End see,Buttwelded Fittings
8,380,260,62,330.2,12 Holes,7/8'',140,1'' Dia,M24,26.0 kg,222.2,8.29 kg,41.3,Stub-End see,Buttwelded Fittings
10,445,321,95,387.4,16 Holes,1'',160,1+1/8'' Dia,M27,36.0 kg,277.4,16.25 kg,47.7,Stub-End see,Buttwelded Fittings
12,520,375,102,450.8,16 Holes,1+1/8'',170,1+1/4'' Dia,M30,52.0 kg,328.2,21.77 kg,50.8,Stub-End see,Buttwelded Fittings
14,585,425,111,514.4,20 Holes,1+1/8'',180,1+1/4'' Dia,M30,75.0 kg,360.2,28.14 kg,54.0,Stub-End see,Buttwelded Fittings
16,650,483,121,571.5,20 Holes,1+1/4'',190,1+3/8'' Dia,M33,86.0 kg,411.2,36.21 kg,57.2,Stub-End see,Buttwelded Fittings
18,710,533,130,628.6,24 Holes,1+1/4'',195,1+3/8'' Dia,M33,113.0 kg,462.3,44.16 kg,60.4,Stub-End see,Buttwelded Fittings
20,775,587,140,685.8,24 Holes,1+1/4'',205,1+3/8'' Dia,M33,143.0 kg,514.4,45.52 kg,63.5,Stub-End see,Buttwelded Fittings
24,915,702,153,812.8,24 Holes,1+1/2'',230,1+5/8'' Dia,M39,216.0 kg,616.0,76.1 kg,69.9,Stub-End see,Buttwelded Fittings
