nb,od,hub-x,lapped thk,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,Lapped Bore,bolts wt rf,lapped tk,sch
0+1/2,95,38,22,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,1.3 kg,22.9,0.54 kg,14.3,18.0
0+3/4,115,48,25,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.5 kg,28.2,0.79 kg,15.9,23.4
1,125,54,27,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.8 kg,34.9,0.79 kg,17.5,30.1
1+1/4,135,64,29,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,2.3 kg,43.7,0.82 kg,20.7,38.9
1+1/2,155,70,32,114.3,4 Holes,3/4'',110,7/8'' Dia,M20,3.2 kg,50.0,1.54 kg,22.3,45.0
2,165,84,37,127.0,8 Holes,5/8'',110,3/4'' Dia,M16,4.1 kg,62.5,1.8 kg,25.4,57.0
2+1/2,190,100,41,149.2,8 Holes,3/4'',120,7/8'' Dia,M20,5.9 kg,75.4,3.24 kg,28.6,68.78
3,210,117,46,168.3,8 Holes,3/4'',125,7/8'' Dia,M20,7.3 kg,91.4,3.32 kg,31.8,84.68
3+1/2,230,133,49,184.2,8 Holes,7/8'',140,1'' Dia,M24,9.6 kg,104.1,5.52 kg,35.0,97.38
4,255,146,51,200.0,8 Holes,7/8'',140,1'' Dia,M24,11.8 kg,116.8,5.52 kg,35.0,110.08
5,280,178,54,235.0,8 Holes,7/8'',145,1'' Dia,M24,14.1 kg,144.4,5.64 kg,38.1,135.76
6,320,206,57,269.9,12 Holes,7/8'',150,1'' Dia,M24,20.0 kg,171.4,8.65 kg,41.3,162.76
8,380,260,68,330.0,12 Holes,1'',170,1+1/8'' Dia,M27,31.0 kg,222.2,12.65 kg,47.7,213.56
10,445,321,102,387.4,16 Holes,1+1/8'',190,1+1/4'' Dia,M30,42.0 kg,277.4,23.26 kg,54.0,266.3
12,520,375,108,450.8,16 Holes,1+1/4'',205,1+3/8'' Dia,M33,59.0 kg,328.2,30.35 kg,57.2,315.98
14,585,425,117,514.4,20 Holes,1+1/4'',210,1+3/8'' Dia,M33,82.0 kg,360.2,38.51 kg,60.4,347.68
16,650,483,127,571.5,20 Holes,1+3/8'',220,1+1/2'' Dia,M36,107.0 kg,411.2,50.38 kg,63.5,398.02
18,710,533,137,628.6,24 Holes,1+3/8'',230,1+1/2'' Dia,M36,130.0 kg,462.3,62.15 kg,66.7,448.62
20,775,587,146,685.8,24 Holes,1+1/2'',240,1+3/4'' Dia,M39,157.0 kg,514.4,78.11 kg,69.9,498.44
24,915,702,159,812.8,24 Holes,1+3/4'',265,1+7/8'' Dia,M45,232.0 kg,616.0,119.85 kg,76.2,598.92
