nb,od,hub-x,lapped thk,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,Lapped Bore,bolts wt rf,lapped tk,Stub-End see,Buttwelded Fittings
0+1/2,95,38,22,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,1.3 kg,22.9,0.54 kg,14.3,Stub-End see,Buttwelded Fittings
0+3/4,115,48,25,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.4 kg,28.2,0.79 kg,15.9,Stub-End see,Buttwelded Fittings
1,125,54,27,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.8 kg,34.9,0.79 kg,17.5,Stub-End see,Buttwelded Fittings
1+1/4,135,64,29,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,2.3 kg,43.7,0.82 kg,20.7,Stub-End see,Buttwelded Fittings
1+1/2,155,70,32,114.3,4 Holes,3/4'',110,7/8'' Dia,M20,3.2 kg,50.0,1.54 kg,22.3,Stub-End see,Buttwelded Fittings
2,165,84,37,127.0,8 Holes,5/8'',110,3/4'' Dia,M16,4.1 kg,62.5,1.8 kg,25.4,Stub-End see,Buttwelded Fittings
2+1/2,190,100,41,149.2,8 Holes,3/4'',120,7/8'' Dia,M20,5.9 kg,75.4,3.24 kg,28.6,Stub-End see,Buttwelded Fittings
3,210,117,46,168.3,8 Holes,3/4'',125,7/8'' Dia,M20,7.3 kg,91.4,3.32 kg,31.8,Stub-End see,Buttwelded Fittings
3+1/2,230,133,49,184.2,8 Holes,7/8'',140,1'' Dia,M24,9.6 kg,104.1,5.52 kg,35.0,Stub-End see,Buttwelded Fittings
4,275,152,54,215.9,8 Holes,7/8'',145,1'' Dia,M24,16.8 kg,116.8,5.64 kg,38.1,Stub-End see,Buttwelded Fittings
5,330,189,60,266.7,8 Holes,1'',165,1+1/8'' Dia,M27,29.0 kg,144.4,8.27 kg,44.5,Stub-End see,Buttwelded Fittings
6,355,222,67,292.1,12 Holes,1'',170,1+1/8'' Dia,M27,36.0 kg,171.4,12.65 kg,47.7,Stub-End see,Buttwelded Fittings
8,420,273,76,349.2,12 Holes,1+1/8'',190,1+1/4'' Dia,M30,52.0 kg,222.2,17.44 kg,55.6,Stub-End see,Buttwelded Fittings
10,510,343,111,431.8,16 Holes,1+1/4'',215,1+3/8'' Dia,M33,77.0 kg,277.4,31.28 kg,63.5,Stub-End see,Buttwelded Fittings
12,560,400,117,489.0,20 Holes,1+1/4'',220,1+3/8'' Dia,M33,91.0 kg,328.2,39.66 kg,66.7,Stub-End see,Buttwelded Fittings
14,605,432,127,527.0,20 Holes,1+3/8'',235,1+1/2'' Dia,M36,105.0 kg,360.2,52.5 kg,69.9,Stub-End see,Buttwelded Fittings
16,685,495,140,603.2,20 Holes,1+1/2'',255,1+5/8'' Dia,M39,150.0 kg,411.2,67.59 kg,76.2,Stub-End see,Buttwelded Fittings
18,745,546,152,654.0,20 Holes,1+5/8'',275,1+3/4'' Dia,M42,182.0 kg,462.3,86.03 kg,82.6,Stub-End see,Buttwelded Fittings
20,815,610,165,723.9,24 Holes,1+5/8'',285,1+3/4'' Dia,M42,232.0 kg,514.4,105.6 kg,88.9,Stub-End see,Buttwelded Fittings
24,940,718,184,838.2,24 Holes,1+7/8'',330,2'' Dia,M48,332.0 kg,616.0,160.96 kg,101.6,Stub-End see,Buttwelded Fittings
