nb,od,thickness,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,bld kg,bolts wt rf
0+1/2,120,22.3,34.9,7,82.6,4 Holes,3/4'',110,7/8'' Dia,M20,1.8 kg,1.54 kg
0+3/4,130,25.4,42.9,7,88.9,4 Holes,3/4'',115,7/8'' Dia,M20,2.7 kg,1.58 kg
1,150,28.6,50.8,7,101.6,4 Holes,7/8'',125,1'' Dia,M24,3.7 kg,2.58 kg
1+1/4,160,28.6,63.5,7,111.1,4 Holes,7/8'',125,1'' Dia,M24,4.1 kg,2.58 kg
1+1/2,180,31.8,73.0,7,123.8,4 Holes,1'',140,1+1/8'' Dia,M27,5.9 kg,3.75 kg
2,215,38.1,92.1,7,165.1,8 Holes,7/8'',145,1'' Dia,M24,10.1 kg,5.64 kg
2+1/2,245,41.3,104.8,7,190.5,8 Holes,1'',160,1+1/8'' Dia,M27,15.9 kg,8.12 kg
3,265,47.7,127.0,7,203.2,8 Holes,1+1/8'',180,1+1/4'' Dia,M30,21.8 kg,11.25 kg
4,310,54.0,157.2,7,241.3,8 Holes,1+1/4'',195,1+3/8'' Dia,M33,33.0 kg,14.72 kg
5,375,73.1,185.7,7,292.1,8 Holes,1+1/2'',250,1+5/8'' Dia,M39,64.0 kg,26.71 kg
6,395,82.6,215.9,7,317.5,12 Holes,1+3/8'',260,1+1/2'' Dia,M36,75.0 kg,33.62 kg
8,485,92.1,269.9,7,393.7,12 Holes,1+5/8'',290,1+3/4'' Dia,M42,136.0 kg,53.38 kg
10,585,108.0,323.8,7,482.6,12 Holes,1+7/8'',335,2'' Dia,M48,232.0 kg,81.26 kg
12,675,123.9,381.0,7,571.5,16 Holes,2'',375,2+1/8'' Dia,M52,314.0 kg,139.43 kg
14,750,133.4,412.8,7,635.0,16 Holes,2+1/4'',405,2+3/8'' Dia,M56,443.0 kg,169.9 kg
16,825,146.1,469.9,7,704.8,16 Holes,2+1/2'',445,2+5/8'' Dia,M64,591.0 kg,243.0 kg
18,915,162.0,533.4,7,774.7,16 Holes,2+3/4'',495,2+7/8'' Dia,M72,795.0 kg,338.28 kg
20,985,177.8,584.2,7,831.8,16 Holes,3'',540,3+1/8'' Dia,M76,1022.0 kg,408.8 kg
24,1170,203.2,692.2,7,990.6,16 Holes,3+1/2'',615,3+5/8'' Dia,M90,1648.0 kg,646.55 kg
