nb,od,thickness,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,bld kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,rtj degree
0+1/2,95,14.3,51.0,5.54,R11,3,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,1.4 kg,34.14,5.54,7.14,0.54 kg,23*
0+3/4,115,15.9,63.5,6.35,13,4,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.4 kg,42.88,6.35,8.74,0.79 kg,23*
1,125,17.5,70.0,6.35,16,4,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.8 kg,50.8,6.35,8.74,0.79 kg,23*
1+1/4,135,20.7,79.5,6.35,18,4,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,2.3 kg,60.33,6.35,8.74,0.82 kg,23*
1+1/2,155,22.3,90.5,6.35,20,4,114.3,4 Holes,3/4'',110,7/8'' Dia,M20,3.7 kg,68.27,6.35,8.74,1.54 kg,23*
2,165,25.4,108.0,7.92,23,5,127.0,8 Holes,5/8'',110,3/4'' Dia,M16,4.6 kg,82.55,7.92,11.91,1.8 kg,23*
2+1/2,190,28.6,127.0,7.92,26,5,149.2,8 Holes,3/4'',120,7/8'' Dia,M20,6.8 kg,101.6,7.92,11.91,3.24 kg,23*
3,210,31.8,146.0,7.92,31,5,168.3,8 Holes,3/4'',125,7/8'' Dia,M20,9.1 kg,123.83,7.92,11.91,3.32 kg,23*
3+1/2,230,35.0,159.0,7.92,34,5,184.2,8 Holes,7/8'',140,1'' Dia,M24,13.2 kg,131.78,7.92,11.91,5.52 kg,23*
4,275,38.1,175.0,7.92,37,5,215.9,8 Holes,7/8'',145,1'' Dia,M24,18.7 kg,149.23,7.92,11.91,5.64 kg,23*
5,330,44.5,210.0,7.92,41,5,266.7,8 Holes,1'',165,1+1/8'' Dia,M27,31.0 kg,180.98,7.92,11.91,8.27 kg,23*
6,355,47.7,241.0,7.92,45,5,292.1,12 Holes,1'',170,1+1/8'' Dia,M27,39.0 kg,211.12,7.92,11.91,12.65 kg,23*
8,420,55.6,302.0,7.92,49,5,349.2,12 Holes,1+1/8'',195,1+1/4'' Dia,M30,64.0 kg,269.88,7.92,11.91,17.72 kg,23*
10,510,63.5,356.0,7.92,53,5,431.8,16 Holes,1+1/4'',215,1+3/8'' Dia,M33,105.0 kg,323.85,7.92,11.91,31.28 kg,23*
12,560,66.7,413.0,7.92,57,5,489.0,20 Holes,1+1/4'',220,1+3/8'' Dia,M33,134.0 kg,381.0,7.92,11.91,39.66 kg,23*
14,605,69.9,457.0,7.92,61,5,527.0,20 Holes,1+3/8'',235,1+1/2'' Dia,M36,161.0 kg,419.1,7.92,11.91,52.5 kg,23*
16,685,76.2,508.0,7.92,65,5,603.2,20 Holes,1+1/2'',255,1+5/8'' Dia,M39,225.0 kg,469.9,7.92,11.91,67.59 kg,23*
18,745,82.6,575.0,7.92,69,5,654.0,20 Holes,1+5/8'',275,1+3/4'' Dia,M42,286.0 kg,533.4,7.92,11.91,86.03 kg,23*
20,815,88.9,635.0,9.53,73,5,723.9,24 Holes,1+5/8'',290,1+3/4'' Dia,M42,368.0 kg,584.2,9.53,13.49,106.77 kg,23*
24,940,101.6,749.0,11.13,77,6,838.2,24 Holes,1+7/8'',335,2'' Dia,M48,568.0 kg,692.15,11.13,16.66,162.52 kg,23*
