nb,od,hub-x,lapped thk,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,Lapped Bore,bolts wt rf,lapped thk.1,Stub-End see,Buttwelded Fittings
0+1/2,120,38,32,82.6,4 Holes,3/4'',110,7/8'' Dia,M20,1.8 kg,22.9,1.54 kg,22.3,Stub-End see,Buttwelded Fittings
0+3/4,130,44,35,88.9,4 Holes,3/4'',115,7/8'' Dia,M20,2.3 kg,28.2,1.58 kg,25.4,Stub-End see,Buttwelded Fittings
1,150,52,41,101.6,4 Holes,7/8'',125,1'' Dia,M24,3.6 kg,34.9,2.58 kg,28.6,Stub-End see,Buttwelded Fittings
1+1/4,160,64,41,111.1,4 Holes,7/8'',125,1'' Dia,M24,4.1 kg,43.7,2.58 kg,28.6,Stub-End see,Buttwelded Fittings
1+1/2,180,70,44,123.8,4 Holes,1'',140,1+1/8'' Dia,M27,5.5 kg,50.0,3.75 kg,31.8,Stub-End see,Buttwelded Fittings
2,215,105,57,165.1,8 Holes,7/8'',145,1'' Dia,M24,11.5 kg,62.5,5.64 kg,38.1,Stub-End see,Buttwelded Fittings
2+1/2,245,124,64,190.5,8 Holes,1'',160,1+1/8'' Dia,M27,16.5 kg,75.4,8.12 kg,41.3,Stub-End see,Buttwelded Fittings
3,240,127,54,190.5,8 Holes,7/8'',145,1'' Dia,M24,12.0 kg,91.4,5.64 kg,38.1,Stub-End see,Buttwelded Fittings
4,290,159,70,235.0,8 Holes,1+1/8'',170,1+1/4'' Dia,M30,24.0 kg,116.8,10.88 kg,44.5,Stub-End see,Buttwelded Fittings
5,350,190,79,279.4,8 Holes,1+1/4'',190,1+3/8'' Dia,M33,38.0 kg,144.4,14.48 kg,50.8,Stub-End see,Buttwelded Fittings
6,380,235,86,317.5,12 Holes,1+1/8'',190,1+1/4'' Dia,M30,50.0 kg,171.4,17.44 kg,55.6,Stub-End see,Buttwelded Fittings
8,470,298,114,393.7,12 Holes,1+3/8'',220,1+1/2'' Dia,M36,78.0 kg,222.2,30.22 kg,63.5,Stub-End see,Buttwelded Fittings
10,545,368,127,469.9,16 Holes,1+3/8'',235,1+1/2'' Dia,M36,112.0 kg,277.4,42.0 kg,69.9,Stub-End see,Buttwelded Fittings
12,610,419,143,533.4,20 Holes,1+3/8'',255,1+1/2'' Dia,M36,148.0 kg,328.2,55.32 kg,79.4,Stub-End see,Buttwelded Fittings
14,640,451,156,558.8,20 Holes,1+1/2'',275,1+5/8'' Dia,M39,182.0 kg,360.2,58.15 kg,85.8,Stub-End see,Buttwelded Fittings
16,705,508,165,616.0,20 Holes,1+5/8'',285,1+3/4'' Dia,M42,193.0 kg,411.2,72.61 kg,88.9,Stub-End see,Buttwelded Fittings
18,785,565,190,685.8,20 Holes,1+7/8'',325,2'' Dia,M48,258.0 kg,462.3,132.84 kg,101.6,Stub-End see,Buttwelded Fittings
20,855,622,210,749.3,20 Holes,2'',350,2+1/8'' Dia,M52,317.0 kg,514.4,166.6 kg,108.0,Stub-End see,Buttwelded Fittings
24,1040,749,267,901.7,20 Holes,2+1/2'',440,2+5/8'' Dia,M64,608.0 kg,616.0,345.48 kg,139.7,Stub-End see,Buttwelded Fittings
