nb,od,thickness,hub-x,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,bolts wt rf,As Required
0+1/2,120,22.3,38,34.9,7,82.6,4 Holes,3/4'',110,7/8'' Dia,M20,1.8 kg,1.54 kg,As Required
0+3/4,130,25.4,44,42.9,7,88.9,4 Holes,3/4'',115,7/8'' Dia,M20,2.3 kg,1.58 kg,As Required
1,150,28.6,52,50.8,7,101.6,4 Holes,7/8'',125,1'' Dia,M24,3.6 kg,2.58 kg,As Required
1+1/4,160,28.6,64,63.5,7,111.1,4 Holes,7/8'',125,1'' Dia,M24,4.1 kg,2.58 kg,As Required
1+1/2,180,31.8,70,73.0,7,123.8,4 Holes,1'',140,1+1/8'' Dia,M27,5.5 kg,3.75 kg,As Required
2,215,38.1,105,92.1,7,165.1,8 Holes,7/8'',145,1'' Dia,M24,11.5 kg,5.64 kg,As Required
2+1/2,245,41.3,124,104.8,7,190.5,8 Holes,1'',160,1+1/8'' Dia,M27,16.5 kg,8.12 kg,As Required
3,240,38.1,127,127.0,7,190.5,8 Holes,7/8'',145,1'' Dia,M24,12.0 kg,5.64 kg,As Required
4,290,44.5,159,157.2,7,235.0,8 Holes,1+1/8'',170,1+1/4'' Dia,M30,24.0 kg,10.88 kg,As Required
5,350,50.8,190,185.7,7,279.4,8 Holes,1+1/4'',190,1+3/8'' Dia,M33,38.0 kg,14.48 kg,As Required
6,380,55.6,235,215.9,7,317.5,12 Holes,1+1/8'',190,1+1/4'' Dia,M30,50.0 kg,17.44 kg,As Required
8,470,63.5,298,269.9,7,393.7,12 Holes,1+3/8'',220,1+1/2'' Dia,M36,78.0 kg,30.22 kg,As Required
10,545,69.9,368,323.8,7,469.9,16 Holes,1+3/8'',235,1+1/2'' Dia,M36,112.0 kg,42.0 kg,As Required
12,610,79.4,419,381.0,7,533.4,20 Holes,1+3/8'',255,1+1/2'' Dia,M36,148.0 kg,55.32 kg,As Required
