nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
0+1/2,120,22.3,38,21.3,60,34.9,7,82.6,4 Holes,3/4'',110,7/8'' Dia,M20,1.83 kg,1.54 kg,1.6,67,37.5*,16.48
0+3/4,130,25.4,44,26.7,70,42.9,7,88.9,4 Holes,3/4'',115,7/8'' Dia,M20,2.5 kg,1.58 kg,1.6,77,37.5*,21.88
1,150,28.6,52,33.4,73,50.8,7,101.6,4 Holes,7/8'',125,1'' Dia,M24,3.71 kg,2.58 kg,1.6,80,37.5*,27.6
1+1/4,160,28.6,64,42.2,73,63.5,7,111.1,4 Holes,7/8'',125,1'' Dia,M24,4.29 kg,2.58 kg,1.6,80,37.5*,36.26
1+1/2,180,31.8,70,48.3,83,73.0,7,123.8,4 Holes,1'',140,1+1/8'' Dia,M27,6.0 kg,3.75 kg,1.6,90,37.5*,41.94
2,215,38.1,105,60.3,102,92.1,7,165.1,8 Holes,7/8'',145,1'' Dia,M24,10.56 kg,5.64 kg,1.6,109,37.5*,53.94
2+1/2,245,41.3,124,73.0,105,104.8,7,190.5,8 Holes,1'',160,1+1/8'' Dia,M27,14.85 kg,8.12 kg,1.6,112,37.5*,63.44
3,265,47.7,133,88.9,117,127.0,7,203.2,8 Holes,1+1/8'',180,1+1/4'' Dia,M30,19.18 kg,11.25 kg,1.6,124,37.5*,79.34
4,310,54.0,162,114.3,124,157.2,7,241.3,8 Holes,1+1/4'',195,1+3/8'' Dia,M33,28.88 kg,14.72 kg,1.6,131,37.5*,104.74
8,485,92.1,292,219.1,213,269.9,7,393.7,12 Holes,1+5/8'',290,1+3/4'' Dia,M42,114.51 kg,53.38 kg,1.6,220,37.5*,205.02
10,585,108.0,368,273.0,254,323.8,7,482.6,12 Holes,1+7/8'',335,2'' Dia,M48,197.3 kg,81.26 kg,1.6,261,37.5*,257.4
12,675,123.9,451,323.8,283,381.0,7,571.5,16 Holes,2'',375,2+1/8'' Dia,M52,296.93 kg,139.43 kg,1.6,290,37.5*,307.04
14,750,133.4,495,355.6,298,412.8,7,635.0,16 Holes,2+1/4'',405,2+3/8'' Dia,M56,392.63 kg,169.9 kg,1.6,305,37.5*,336.54
16,825,146.1,552,406.4,311,469.9,7,704.8,16 Holes,2+1/2'',445,2+5/8'' Dia,M64,498.07 kg,243.0 kg,1.6,318,37.5*,387.34
18,915,162.0,597,457.0,327,533.4,7,774.7,16 Holes,2+3/4'',495,2+7/8'' Dia,M72,657.97 kg,338.28 kg,1.6,334,37.5*,434.74
20,985,177.8,641,508.0,356,584.2,7,831.8,16 Holes,3'',540,3+1/8'' Dia,M76,811.8 kg,408.8 kg,1.6,363,37.5*,482.6
24,1170,203.2,762,610.0,406,692.2,7,990.6,16 Holes,3+1/2'',615,3+5/8'' Dia,M90,1299.32 kg,646.55 kg,1.6,413,37.5*,581.46
