nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
0+1/2,90,9.6,30,21.3,46,34.9,2,60.3,4 Holes,1/2'',55,5/8'' Dia,M14,0.5 kg,0.46 kg,1.6,48,37.5*,15.76
0+3/4,100,11.2,38,26.7,51,42.9,2,69.9,4 Holes,1/2'',65,5/8'' Dia,M14,0.74 kg,0.5 kg,1.6,53,37.5*,20.96
1,110,12.7,49,33.4,54,50.8,2,79.4,4 Holes,1/2'',65,5/8'' Dia,M14,1.06 kg,0.5 kg,1.6,56,37.5*,26.64
1+1/4,115,14.3,59,42.2,56,63.5,2,88.9,4 Holes,1/2'',70,5/8'' Dia,M14,1.3 kg,0.52 kg,1.6,58,37.5*,35.08
1+1/2,125,15.9,65,48.3,60,73.0,2,98.4,4 Holes,1/2'',70,5/8'' Dia,M14,1.68 kg,0.52 kg,1.6,62,37.5*,40.94
2,150,17.5,78,60.3,62,92.1,2,120.7,4 Holes,5/8'',85,3/4'' Dia,M16,2.54 kg,0.77 kg,1.6,64,37.5*,52.48
2+1/2,180,20.7,90,73.0,68,104.8,2,139.7,4 Holes,5/8'',90,3/4'' Dia,M16,4.27 kg,0.79 kg,1.6,70,37.5*,62.68
3,190,22.3,108,88.9,68,127.0,2,152.4,4 Holes,5/8'',90,3/4'' Dia,M16,4.98 kg,0.79 kg,1.6,70,37.5*,77.92
3+1/2,215,22.3,122,101.6,70,139.7,2,177.8,8 Holes,5/8'',90,3/4'' Dia,M16,6.16 kg,1.59 kg,1.6,72,37.5*,90.12
4,230,22.3,135,114.3,75,157.2,2,190.5,8 Holes,5/8'',90,3/4'' Dia,M16,7.14 kg,1.59 kg,1.6,77,37.5*,102.26
5,255,22.3,164,141.3,87,185.7,2,215.9,8 Holes,3/4'',95,7/8'' Dia,M20,8.93 kg,2.83 kg,1.6,89,37.5*,128.2
6,280,23.9,192,168.3,87,215.9,2,241.3,8 Holes,3/4'',100,7/8'' Dia,M20,10.93 kg,2.91 kg,1.6,89,37.5*,154.08
8,345,27.0,246,219.1,100,269.9,2,298.5,8 Holes,3/4'',110,7/8'' Dia,M20,18.25 kg,3.08 kg,1.6,102,37.5*,202.74
10,405,28.6,305,273.0,100,323.8,2,362.0,12 Holes,7/8'',115,1'' Dia,M24,24.44 kg,7.4 kg,1.6,102,37.5*,254.46
12,485,30.2,365,323.8,113,381.0,2,431.8,12 Holes,7/8'',120,1'' Dia,M24,38.88 kg,7.58 kg,1.6,115,37.5*,303.18
14,535,33.4,400,355.6,125,412.8,2,476.3,12 Holes,1'',135,1+1/8'' Dia,M27,51.94 kg,11.04 kg,1.6,127,37.5*,333.34
16,595,35.0,457,406.4,125,469.9,2,539.8,16 Holes,1'',135,1+1/8'' Dia,M27,65.12 kg,14.72 kg,1.6,127,37.5*,381.0
18,635,38.1,505,457.2,138,533.4,2,577.9,16 Holes,1+1/8'',145,1+1/4'' Dia,M30,77.61 kg,19.9 kg,1.6,140,37.5*,428.46
20,700,41.3,559,508.0,143,584.2,2,635.0,20 Holes,1+1/8'',160,1+1/4'' Dia,M30,97.16 kg,26.28 kg,1.6,145,37.5*,477.82
24,815,46.1,663,610.0,151,692.2,2,749.3,20 Holes,1+1/4'',170,1+3/8'' Dia,M33,136.69 kg,33.94 kg,1.6,153,37.5*,575.04
