nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
0+1/2,135,30.2,43,21.3,73,34.9,7,88.9,4 Holes,3/4'',120,7/8'' Dia,M20,3.2 kg,1.62 kg,1.6,80,37.5*,15.76
0+3/4,140,31.8,51,26.7,79,42.9,7,95.2,4 Holes,3/4'',125,7/8'' Dia,M20,3.7 kg,1.66 kg,1.6,86,37.5*,20.96
1,160,35.0,57,33.4,89,50.8,7,108.0,4 Holes,7/8'',140,1'' Dia,M24,5.3 kg,2.76 kg,1.6,96,37.5*,26.64
1+1/4,185,38.1,73,42.2,95,63.5,7,130.2,4 Holes,1'',150,1+1/8'' Dia,M27,7.76 kg,3.91 kg,1.6,102,37.5*,35.08
1+1/2,205,44.5,79,48.3,111,73.0,7,146.0,4 Holes,1+1/8'',170,1+1/4'' Dia,M30,11.04 kg,5.44 kg,1.6,118,37.5*,40.94
2,235,50.9,95,60.3,127,92.1,7,171.4,8 Holes,1'',180,1+1/8'' Dia,M27,16.14 kg,8.74 kg,1.6,134,37.5*,52.48
2+1/2,265,57.2,114,73.0,143,104.8,7,196.8,8 Holes,1+1/8'',195,1+1/4'' Dia,M30,23.31 kg,11.81 kg,1.6,150,37.5*,62.68
3,305,66.7,133,88.9,168,127.0,7,228.6,8 Holes,1+1/4'',220,1+3/8'' Dia,M33,36.05 kg,15.86 kg,1.6,175,37.5*,77.92
4,355,76.2,165,114.3,190,157.2,7,273.0,8 Holes,1+1/2'',255,1+5/8'' Dia,M39,54.86 kg,27.03 kg,1.6,197,37.5*,102.26
5,420,92.1,203,141.3,229,185.7,7,323.8,8 Holes,1+3/4'',300,1+7/8'' Dia,M45,92.64 kg,36.38 kg,1.6,236,37.5*,128.2
6,485,108.0,235,168.3,273,215.9,7,368.3,8 Holes,2'',345,2+1/8'' Dia,M52,144.09 kg,66.02 kg,1.6,280,37.5*,154.08
8,550,127.0,305,219.1,318,269.9,7,438.2,12 Holes,2'',380,2+1/8'' Dia,M52,211.89 kg,105.5 kg,1.6,325,37.5*,202.74
10,675,165.1,375,273.0,419,323.8,7,539.8,12 Holes,2+1/2'',490,2+5/8'' Dia,M64,410.89 kg,194.74 kg,1.6,426,37.5*,254.46
12,760,184.2,441,323.8,464,381.0,7,619.1,12 Holes,2+3/4'',540,2+7/8'' Dia,M72,576.09 kg,269.63 kg,1.6,471,37.5*,304.74
