nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
0+1/2,95,14.3,38,21.3,52,34.9,7,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,0.9 kg,0.54 kg,1.6,59,37.5*,6.36
0+3/4,115,15.9,48,26.7,57,42.9,7,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.47 kg,0.79 kg,1.6,64,37.5*,11.06
1,125,17.5,54,33.4,62,50.8,7,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.97 kg,0.79 kg,1.6,69,37.5*,15.22
1+1/4,135,20.7,64,42.2,67,63.5,7,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,2.76 kg,0.82 kg,1.6,74,37.5*,22.8
1+1/2,155,22.3,70,48.3,70,73.0,7,114.3,4 Holes,3/4'',110,7/8'' Dia,M20,3.78 kg,1.54 kg,1.6,77,37.5*,28.0
2,165,25.4,84,60.3,73,92.1,7,127.0,8 Holes,5/8'',110,3/4'' Dia,M16,4.79 kg,1.8 kg,1.6,80,37.5*,38.16
2+1/2,190,28.6,100,73.0,79,104.8,7,149.2,8 Holes,3/4'',120,7/8'' Dia,M20,7.13 kg,3.24 kg,1.6,86,37.5*,44.96
3,210,31.8,117,88.9,83,127.0,7,168.3,8 Holes,3/4'',125,7/8'' Dia,M20,9.67 kg,3.32 kg,1.6,90,37.5*,58.42
4,255,35.0,146,114.3,89,157.2,7,200.0,8 Holes,7/8'',140,1'' Dia,M24,15.34 kg,5.52 kg,1.6,96,37.5*,80.06
5,280,38.1,178,141.3,102,185.7,7,235.0,8 Holes,7/8'',145,1'' Dia,M24,20.88 kg,5.64 kg,1.6,109,37.5*,103.2
6,320,41.3,206,168.3,103,215.9,7,269.9,12 Holes,7/8'',150,1'' Dia,M24,28.06 kg,8.65 kg,1.6,110,37.5*,124.4
8,380,47.7,260,219.1,117,269.9,7,330.0,12 Holes,1'',170,1+1/8'' Dia,M27,42.75 kg,12.65 kg,1.6,124,37.5*,174.64
10,445,54.0,321,273.0,124,323.8,7,387.4,16 Holes,1+1/8'',190,1+1/4'' Dia,M30,61.56 kg,23.26 kg,1.6,131,37.5*,222.2
12,520,57.2,375,323.8,137,381.0,7,450.8,16 Holes,1+1/4'',205,1+3/8'' Dia,M33,86.65 kg,30.35 kg,1.6,144,37.5*,273.0
