size,od,WallThk,Half OD,id,Wt per Unit Len,Wt Per Unit Length/Water
0+1/8,10.3,1.24,5.15,7.83,0.28,0.3
0+1/4,13.7,1.65,6.85,10.4,0.49,0.57
0+3/8,17.1,1.65,8.55,13.8,0.63,0.77
0+1/2,21.3,2.11,10.65,17.08,1,1.22
0+3/4,26.7,2.11,13.35,22.48,1.28,1.67
1,33.4,2.77,16.7,27.86,2.09,2.69
1+1/4,42.2,2.77,21.1,36.66,2.69,3.74
1+1/2,48.3,2.77,24.15,42.76,3.11,4.54
2,60.3,2.77,30.15,54.76,3.93,6.28
2+1/2,73,3.05,36.5,66.9,5.26,8.77
3,88.9,3.05,44.45,82.8,6.46,11.84
3+1/2,101.6,3.05,50.8,95.5,7.41,14.56
4,114.3,3.05,57.15,108.2,8.37,17.56
5,141.3,3.4,70.65,134.5,11.56,25.76
6,168.3,3.4,84.15,161.5,13.83,34.3
8,219.1,3.76,109.55,211.58,19.97,55.11
10,273,4.19,136.55,264.72,27.79,82.8
12,323.8,4.57,161.95,314.76,35.99,113.76
14,355.6,4.78,177.8,346.04,41.36,135.35
16,406.4,4.78,203.2,396.84,47.34,170.96
18,457,4.78,228.5,447.44,53.31,210.46
20,508,5.54,254,496.92,68.65,262.48
22,559,5.54,279.5,547.92,75.62,311.28
24,610,6.35,305,597.3,94.53,374.59
30,762,7.92,381,746.16,147.29,584.34
