nb,od,WallThk,Half OD,id,Wt per Unit Len,Wt Per Unit Length + Water
4,114.3,11.13,57.15,92.04,28.32,34.97
5,141.3,12.7,70.65,115.9,40.28,50.82
6,168.3,14.27,84.15,139.76,54.21,69.54
8,219.1,18.26,109.55,182.58,90.44,116.6
10,273,21.44,136.5,230.12,133.01,174.57
12,323.8,25.4,161.9,273,186.92,245.42
14,355.6,27.79,177.8,300.02,224.66,295.31
16,406.4,30.96,203.2,344.48,286.66,379.81
18,457,34.93,228.5,387.14,363.58,481.23
20,508,38.1,254,431.8,441.52,587.88
22,559,41.28,279.5,476.44,527.05,705.24
24,610,46.02,305,517.96,640.07,850.67
