nb,od,thickness,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,bld kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,rtj degree
0+1/2,95,14.3,51.0,5.54,11,3,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,1.5 kg,34.14,5.54,7.14,0.54 kg,23*
0+3/4,115,15.9,63.5,6.35,13,4,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.5 kg,42.88,6.35,8.74,0.79 kg,23*
1,125,17.5,70.0,6.35,16,4,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.8 kg,50.8,6.35,8.74,0.79 kg,23*
1+1/4,135,20.7,79.5,6.35,18,4,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,2.3 kg,60.33,6.35,8.74,0.82 kg,23*
1+1/2,155,22.3,90.5,6.35,20,4,114.3,4 Holes,3/4'',110,7/8'' Dia,M20,3.7 kg,68.27,6.35,8.74,1.54 kg,23*
2,165,25.4,108.0,7.92,23,5,127.0,8 Holes,5/8'',110,3/4'' Dia,M16,4.6 kg,82.55,7.92,11.9,1.8 kg,23*
2+1/2,190,28.6,127.0,7.92,26,5,149.2,8 Holes,3/4'',120,7/8'' Dia,M20,6.8 kg,101.6,7.92,11.9,3.24 kg,23*
3,210,31.8,146.0,7.92,31,5,168.3,8 Holes,3/4'',125,7/8'' Dia,M20,9.1 kg,123.83,7.92,11.9,3.32 kg,23*
3+1/2,230,35.0,159.0,7.92,34,5,184.2,8 Holes,7/8'',140,1'' Dia,M24,13.2 kg,131.78,7.92,11.9,5.52 kg,23*
4,255,35.0,175.0,7.92,37,6,200.0,8 Holes,7/8'',140,1'' Dia,M24,15.0 kg,149.23,7.92,11.91,5.52 kg,23*
5,280,38.1,210.0,7.92,41,6,235.0,8 Holes,7/8'',145,1'' Dia,M24,20.0 kg,180.98,7.92,11.91,5.64 kg,23*
6,320,41.3,241.0,7.92,45,6,269.9,12 Holes,7/8'',150,1'' Dia,M24,28.0 kg,211.12,7.92,11.91,8.65 kg,23*
8,380,47.7,302.0,7.92,49,6,330.0,12 Holes,1'',170,1+1/8'' Dia,M27,46.0 kg,269.88,7.92,11.91,12.65 kg,23*
10,445,54.0,356.0,7.92,53,6,387.4,16 Holes,1+1/8'',190,1+1/4'' Dia,M30,71.0 kg,323.85,7.92,11.91,23.26 kg,23*
12,520,57.2,413.0,7.92,57,6,450.8,16 Holes,1+1/4'',205,1+3/8'' Dia,M33,102.0 kg,381.0,7.92,11.91,30.35 kg,23*
14,585,60.4,457.0,7.92,61,6,514.4,20 Holes,1+1/4'',210,1+3/8'' Dia,M33,132.0 kg,419.1,7.92,11.91,38.51 kg,23*
16,650,63.5,508.0,7.92,65,6,571.5,20 Holes,1+3/8'',220,1+1/2'' Dia,M36,168.0 kg,469.9,7.92,11.91,50.38 kg,23*
18,710,66.7,575.0,7.92,69,6,628.6,24 Holes,1+3/8'',230,1+1/2'' Dia,M36,207.0 kg,533.4,7.92,11.91,62.15 kg,23*
20,775,69.9,635.0,9.53,73,6,685.8,24 Holes,1+1/2'',250,1+3/4'' Dia,M39,266.0 kg,584.2,9.53,13.49,80.13 kg,23*
24,915,76.2,749.0,11.13,77,6,812.8,24 Holes,1+3/4'',280,1+7/8'' Dia,M45,405.0 kg,692.15,11.13,16.66,123.96 kg,23*
