nb,od,hub-x,lapped thk,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,Lapped Bore,bolts wt rf,lapped tk,Stub-End see,Buttwelded Fittings
0+1/2,120,38,32,82.6,4 Holes,3/4'',110,7/8'' Dia,M20,1.8 kg,22.9,1.54 kg,22.3,Stub-End see,Buttwelded Fittings
0+3/4,130,44,35,88.9,4 Holes,3/4'',115,7/8'' Dia,M20,2.3 kg,28.2,1.58 kg,25.4,Stub-End see,Buttwelded Fittings
1,150,52,41,101.6,4 Holes,7/8'',125,1'' Dia,M24,3.7 kg,34.9,2.58 kg,28.6,Stub-End see,Buttwelded Fittings
1+1/4,160,64,41,111.1,4 Holes,7/8'',125,1'' Dia,M24,4.1 kg,43.7,2.58 kg,28.6,Stub-End see,Buttwelded Fittings
1+1/2,180,70,44,123.8,4 Holes,1'',140,1+1/8'' Dia,M27,5.5 kg,50.0,3.75 kg,31.8,Stub-End see,Buttwelded Fittings
2,215,105,57,165.1,8 Holes,7/8'',145,1'' Dia,M24,9.8 kg,62.5,5.64 kg,38.1,Stub-End see,Buttwelded Fittings
2+1/2,245,124,64,190.5,8 Holes,1'',160,1+1/8'' Dia,M27,16.4 kg,75.4,8.12 kg,41.3,Stub-End see,Buttwelded Fittings
3,265,133,73,203.2,8 Holes,1+1/8'',180,1+1/4'' Dia,M30,21.8 kg,91.4,11.25 kg,47.7,Stub-End see,Buttwelded Fittings
4,310,162,90,241.3,8 Holes,1+1/4'',195,1+3/8'' Dia,M33,33.0 kg,116.8,14.72 kg,54.0,Stub-End see,Buttwelded Fittings
5,375,197,105,292.1,8 Holes,1+1/2'',250,1+5/8'' Dia,M39,59.0 kg,144.4,26.71 kg,73.1,Stub-End see,Buttwelded Fittings
6,395,229,119,317.5,12 Holes,1+3/8'',260,1+1/2'' Dia,M36,75.0 kg,171.4,33.62 kg,82.6,Stub-End see,Buttwelded Fittings
8,485,292,143,393.7,12 Holes,1+5/8'',290,1+3/4'' Dia,M42,118.0 kg,222.2,53.38 kg,92.1,Stub-End see,Buttwelded Fittings
10,585,368,178,482.6,12 Holes,1+7/8'',335,2'' Dia,M48,198.0 kg,277.4,81.26 kg,108.0,Stub-End see,Buttwelded Fittings
12,675,451,219,571.5,16 Holes,2'',375,2+1/8'' Dia,M52,264.0 kg,328.2,139.43 kg,123.9,Stub-End see,Buttwelded Fittings
14,750,495,241,635.0,16 Holes,2+1/4'',405,2+3/8'' Dia,M56,341.0 kg,360.2,169.9 kg,133.4,Stub-End see,Buttwelded Fittings
16,825,552,260,704.8,16 Holes,2+1/2'',445,2+5/8'' Dia,M64,454.0 kg,411.2,243.0 kg,146.1,Stub-End see,Buttwelded Fittings
18,915,597,276,774.7,16 Holes,2+3/4'',495,2+7/8'' Dia,M72,590.0 kg,462.3,338.28 kg,162.0,Stub-End see,Buttwelded Fittings
20,985,641,292,831.8,16 Holes,3'',540,3+1/8'' Dia,M76,792.0 kg,514.4,408.8 kg,177.8,Stub-End see,Buttwelded Fittings
24,1170,762,330,990.6,16 Holes,3+1/2'',615,3+5/8'' Dia,M90,1248.0 kg,616.0,646.55 kg,203.2,Stub-End see,Buttwelded Fittings
