nb,od,thickness,hub-x,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,bolts wt rf,As Required
1,110,12.7,49,50.8,2,79.4,4 Holes,1/2'',65,5/8'' Dia,M14,0.9 kg,0.5 kg,As Required
1+1/4,115,14.3,59,63.5,2,88.9,4 Holes,1/2'',70,5/8'' Dia,M14,1.4 kg,0.52 kg,As Required
1+1/2,125,15.9,65,73.0,2,98.4,4 Holes,1/2'',70,5/8'' Dia,M14,1.4 kg,0.52 kg,As Required
2,150,17.5,78,92.1,2,120.7,4 Holes,5/8'',85,3/4'' Dia,M16,2.3 kg,0.77 kg,As Required
2+1/2,180,20.7,90,104.8,2,139.7,4 Holes,5/8'',90,3/4'' Dia,M16,3.2 kg,0.79 kg,As Required
3,190,22.3,108,127.0,2,152.4,4 Holes,5/8'',90,3/4'' Dia,M16,3.7 kg,0.79 kg,As Required
4,230,22.3,135,157.2,2,190.5,8 Holes,5/8'',90,3/4'' Dia,M16,5.9 kg,1.59 kg,As Required
5,255,22.3,164,185.7,2,215.9,8 Holes,3/4'',95,7/8'' Dia,M20,6.8 kg,2.83 kg,As Required
6,280,23.9,192,215.9,2,241.3,8 Holes,3/4'',100,7/8'' Dia,M20,8.6 kg,2.91 kg,As Required
8,345,27.0,246,269.9,2,298.5,8 Holes,3/4'',110,7/8'' Dia,M20,13.7 kg,3.08 kg,As Required
10,405,28.6,305,323.8,2,362.0,12 Holes,7/8'',115,1'' Dia,M24,19.5 kg,7.4 kg,As Required
12,485,30.2,365,381.0,2,431.8,12 Holes,7/8'',120,1'' Dia,M24,29.0 kg,7.58 kg,As Required
