nb,od,thickness,hub-x,hub-a,thd thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,so kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,rtj degree
0+1/2,120,22.3,38,21.3,32,60.5,6.35,12,4,82.6,4 Holes,3/4'',110,7/8'' Dia,M20,1.8 kg,39.67,6.35,8.74,1.54 kg,23*
0+3/4,130,25.4,44,26.7,35,66.5,6.35,14,4,88.9,4 Holes,3/4'',115,7/8'' Dia,M20,2.3 kg,44.45,6.35,8.74,1.58 kg,23*
1,150,28.6,52,33.4,41,71.5,6.35,16,4,101.6,4 Holes,7/8'',125,1'' Dia,M24,3.6 kg,50.8,6.35,8.74,2.58 kg,23*
1+1/4,160,28.6,64,42.2,41,81.0,6.35,18,4,111.1,4 Holes,7/8'',125,1'' Dia,M24,4.1 kg,60.33,6.35,8.74,2.58 kg,23*
1+1/2,180,31.8,70,48.3,44,92.0,6.35,20,4,123.8,4 Holes,1'',140,1+1/8'' Dia,M27,5.5 kg,68.27,6.35,8.74,3.75 kg,23*
2,215,38.1,105,60.3,57,124.0,7.92,24,3,165.1,8 Holes,7/8'',145,1'' Dia,M24,11.5 kg,95.25,7.92,11.91,5.64 kg,23*
2+1/2,245,41.3,124,73.0,64,137.0,7.92,27,3,190.5,8 Holes,1'',160,1+1/8'' Dia,M27,16.5 kg,107.95,7.92,11.91,8.12 kg,23*
3,240,38.1,127,88.9,54,156.0,7.92,31,4,190.5,8 Holes,7/8'',145,1'' Dia,M24,12.0 kg,123.83,7.92,11.91,5.64 kg,23*
4,290,44.5,159,114.3,70,181.0,7.92,37,4,235.0,8 Holes,1+1/8'',170,1+1/4'' Dia,M30,24.0 kg,149.23,7.92,11.91,10.88 kg,23*
5,350,50.8,190,141.3,79,216.0,7.92,41,4,279.4,8 Holes,1+1/4'',190,1+3/8'' Dia,M33,38.0 kg,180.98,7.92,11.91,14.48 kg,23*
6,380,55.6,235,168.3,86,241.0,7.92,45,4,317.5,12 Holes,1+1/8'',195,1+1/4'' Dia,M30,50.0 kg,211.12,7.92,11.91,17.72 kg,23*
8,470,63.5,298,219.1,102,308.0,7.92,49,4,393.7,12 Holes,1+3/8'',220,1+1/2'' Dia,M36,78.0 kg,269.88,7.92,11.91,30.22 kg,23*
10,545,69.9,368,273.0,108,362.0,7.92,53,4,469.9,16 Holes,1+3/8'',235,1+1/2'' Dia,M36,112.0 kg,323.85,7.92,11.91,42.0 kg,23*
12,610,79.4,419,323.8,117,419.0,7.92,57,4,533.4,20 Holes,1+3/8'',255,1+1/2'' Dia,M36,148.0 kg,381.0,7.92,11.91,55.32 kg,23*
14,640,85.8,451,355.6,130,467.0,11.13,62,4,558.8,20 Holes,1+1/2'',280,1+5/8'' Dia,M39,182.0 kg,419.1,11.13,16.66,58.86 kg,23*
16,705,88.9,508,406.4,133,524.0,11.13,66,4,616.0,20 Holes,1+5/8'',290,1+3/4'' Dia,M42,193.0 kg,469.9,11.13,16.66,73.46 kg,23*
18,785,101.6,565,457.0,152,594.0,12.7,70,5,685.8,20 Holes,1+7/8'',335,2'' Dia,M48,258.0 kg,533.4,12.7,19.84,135.44 kg,23*
20,855,108.0,622,508.0,159,648.0,12.7,74,5,749.3,20 Holes,2'',360,2+1/8'' Dia,M52,317.0 kg,584.2,12.7,19.84,169.67 kg,23*
24,1040,139.7,749,610.0,203,772.0,15.88,78,6,901.7,20 Holes,2+1/2'',455,2+5/8'' Dia,M64,608.0 kg,692.15,15.88,26.97,353.38 kg,23*
