nb,od,thickness,hub-x,hub-a,wn thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,wn kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,weld flat,full hei,neck degree,rtj degree,sch
0+1/2,95,12.7,38,21.3,51,51.0,5.54,R11,3,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,0.81 kg,34.14,5.54,7.14,0.54 kg,1.6,53,37.5*,23*,6.36
0+3/4,115,14.3,48,26.7,56,63.5,6.35,13,4,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.34 kg,42.88,6.35,8.74,0.79 kg,1.6,58,37.5*,23*,11.06
1,125,15.9,54,33.4,60,70.0,6.35,16,4,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.81 kg,50.8,6.35,8.74,0.79 kg,1.6,62,37.5*,23*,15.22
1+1/4,135,17.5,64,42.2,64,79.5,6.35,18,4,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,2.4 kg,60.33,6.35,8.74,0.82 kg,1.6,66,37.5*,23*,22.8
1+1/2,155,19.1,70,48.3,67,90.5,6.35,20,4,114.3,4 Holes,3/4'',100,7/8'' Dia,M20,3.31 kg,68.27,6.35,8.74,1.45 kg,1.6,69,37.5*,23*,28.0
2,165,20.7,84,60.3,68,108.0,7.92,23,6,127.0,8 Holes,5/8'',100,3/4'' Dia,M16,4.01 kg,82.55,7.92,11.91,1.69 kg,1.6,70,37.5*,23*,38.16
2+1/2,190,23.9,100,73.0,75,127.0,7.92,26,6,149.2,8 Holes,3/4'',115,7/8'' Dia,M20,6.16 kg,101.6,7.92,11.91,3.16 kg,1.6,77,37.5*,23*,44.96
3,210,27.0,117,88.9,78,146.0,7.92,31,6,168.3,8 Holes,3/4'',120,7/8'' Dia,M20,8.39 kg,123.83,7.92,11.91,3.24 kg,1.6,80,37.5*,23*,58.42
4,255,30.2,146,114.3,84,175.0,7.92,37,6,200.0,8 Holes,3/4'',125,7/8'' Dia,M20,13.71 kg,149.23,7.92,11.91,3.32 kg,1.6,86,37.5*,23*,80.06
5,280,33.4,178,141.3,97,210.0,7.92,41,6,235.0,8 Holes,3/4'',135,7/8'' Dia,M20,18.99 kg,180.98,7.92,11.91,3.48 kg,1.6,99,37.5*,23*,103.2
6,320,35.0,206,168.3,97,241.0,7.92,45,6,269.9,12 Holes,3/4'',140,7/8'' Dia,M20,25.02 kg,211.12,7.92,11.91,5.36 kg,1.6,99,37.5*,23*,124.4
8,380,39.7,260,219.1,110,302.0,7.92,49,6,330.2,12 Holes,7/8'',150,1'' Dia,M24,37.76 kg,269.88,7.92,11.91,8.65 kg,1.6,112,37.5*,23*,174.64
10,445,46.1,321,273.0,116,356.0,7.92,53,6,387.4,16 Holes,1'',170,1+1/8'' Dia,M27,55.37 kg,323.85,7.92,11.91,16.87 kg,1.6,118,37.5*,23*,222.2
12,520,49.3,375,323.8,129,413.0,7.92,57,6,450.8,16 Holes,1+1/8'',185,1+1/4'' Dia,M30,78.26 kg,381.0,7.92,11.91,22.87 kg,1.6,131,37.5*,23*,273.0
