nb,od,thickness,hub-x,hub-a,wn thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,wn kg,bolts wt rf,weld flat,full hei,neck degree,sch
0+1/2,95,14.3,38,21.3,52,34.9,7,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,0.83 kg,0.54 kg,1.6,59,37.5*,15.76
0+3/4,115,15.9,48,26.7,57,42.9,7,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.35 kg,0.79 kg,1.6,64,37.5*,20.96
1,125,17.5,54,33.4,62,50.8,7,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.79 kg,0.79 kg,1.6,69,37.5*,26.64
1+1/4,135,20.7,64,42.2,67,63.5,7,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,2.46 kg,0.82 kg,1.6,74,37.5*,35.08
1+1/2,155,22.3,70,48.3,70,73.0,7,114.3,4 Holes,3/4'',110,7/8'' Dia,M20,3.39 kg,1.54 kg,1.6,77,37.5*,40.94
2,165,25.4,84,60.3,73,92.1,7,127.0,8 Holes,5/8'',110,3/4'' Dia,M16,4.2 kg,1.8 kg,1.6,80,37.5*,52.48
2+1/2,190,28.6,100,73.0,79,104.8,7,149.2,8 Holes,3/4'',120,7/8'' Dia,M20,6.19 kg,3.24 kg,1.6,86,37.5*,62.68
3,210,31.8,117,88.9,83,127.0,7,168.3,8 Holes,3/4'',125,7/8'' Dia,M20,8.3 kg,3.32 kg,1.6,90,37.5*,77.92
3+1/2,230,35.0,133,101.6,86,139.7,7,184.2,8 Holes,7/8'',140,1'' Dia,M24,10.5 kg,5.52 kg,1.6,93,37.5*,90.12
4,255,35.0,146,114.3,89,157.2,7,200.0,8 Holes,7/8'',140,1'' Dia,M24,13.09 kg,5.52 kg,1.6,96,37.5*,102.26
5,280,38.1,178,141.3,102,185.7,7,235.0,8 Holes,7/8'',145,1'' Dia,M24,17.2 kg,5.64 kg,1.6,109,37.5*,128.2
6,320,41.3,206,168.3,103,215.9,7,269.9,12 Holes,7/8'',150,1'' Dia,M24,22.74 kg,8.65 kg,1.6,110,37.5*,154.08
8,380,47.7,260,219.1,117,269.9,7,330.0,12 Holes,1'',170,1+1/8'' Dia,M27,35.01 kg,12.65 kg,1.6,124,37.5*,202.74
10,445,54.0,321,273.0,124,323.8,7,387.4,16 Holes,1+1/8'',190,1+1/4'' Dia,M30,49.66 kg,23.26 kg,1.6,131,37.5*,254.46
12,520,57.2,375,323.8,137,381.0,7,450.8,16 Holes,1+1/4'',205,1+3/8'' Dia,M33,71.79 kg,30.35 kg,1.6,144,37.5*,303.18
14,585,60.4,425,355.6,149,412.8,7,514.4,20 Holes,1+1/4'',210,1+3/8'' Dia,M33,100.06 kg,38.51 kg,1.6,156,37.5*,333.34
16,650,63.5,483,406.4,152,469.9,7,571.5,20 Holes,1+3/8'',220,1+1/2'' Dia,M36,126.64 kg,50.38 kg,1.6,159,37.5*,381.0
18,710,66.7,533,457.0,165,533.4,7,628.6,24 Holes,1+3/8'',230,1+1/2'' Dia,M36,156.33 kg,62.15 kg,1.6,172,37.5*,428.46
20,775,69.9,587,508.0,168,584.2,7,685.8,24 Holes,1+1/2'',240,1+3/4'' Dia,M39,184.94 kg,78.11 kg,1.6,175,37.5*,477.82
24,915,76.2,702,610.0,175,692.2,7,812.8,24 Holes,1+3/4'',265,1+7/8'' Dia,M45,275.31 kg,119.85 kg,1.6,182,37.5*,575.04
