nb,od,thickness,hub-x,hub-a,wn thk,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,wn kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,weld flat,full hei,neck degree,rtj degree,sch
0+1/2,120,22.3,38,21.3,60,60.5,6.35,12,4,82.6,4 Holes,3/4'',110,7/8'' Dia,M20,1.86 kg,39.67,6.35,8.74,1.54 kg,1.6,67,37.5*,23*,13.84
0+3/4,130,25.4,44,26.7,70,66.5,6.35,14,4,88.9,4 Holes,3/4'',115,7/8'' Dia,M20,2.55 kg,44.45,6.35,8.74,1.58 kg,1.6,77,37.5*,23*,18.88
1,150,28.6,52,33.4,73,71.5,6.35,16,4,101.6,4 Holes,7/8'',125,1'' Dia,M24,3.79 kg,50.8,6.35,8.74,2.58 kg,1.6,80,37.5*,23*,24.3
1+1/4,160,28.6,64,42.2,73,81.0,6.35,18,4,111.1,4 Holes,7/8'',125,1'' Dia,M24,4.4 kg,60.33,6.35,8.74,2.58 kg,1.6,80,37.5*,23*,32.5
1+1/2,180,31.8,70,48.3,83,92.0,6.35,20,4,123.8,4 Holes,1'',140,1+1/8'' Dia,M27,6.16 kg,68.27,6.35,8.74,3.75 kg,1.6,90,37.5*,23*,38.14
2,215,38.1,105,60.3,102,124.0,7.92,24,3,165.1,8 Holes,7/8'',145,1'' Dia,M24,10.87 kg,95.25,7.92,11.91,5.64 kg,1.6,109,37.5*,23*,49.22
2+1/2,245,41.3,124,73.0,105,137.0,7.92,27,3,190.5,8 Holes,1'',160,1+1/8'' Dia,M27,15.21 kg,107.95,7.92,11.91,8.12 kg,1.6,112,37.5*,23*,58.98
3,240,38.1,127,88.9,102,156.0,7.92,31,4,190.5,8 Holes,7/8'',145,1'' Dia,M24,13.66 kg,123.83,7.92,11.91,5.64 kg,1.6,109,37.5*,23*,73.66
3+1/2,240,38.1,127,88.9,102,156.0,7.92,31,4,190.5,8 Holes,7/8'',145,1'' Dia,M24,12.47 kg,123.83,7.92,11.91,5.64 kg,1.6,109,37.5*,23*,85.44
4,290,44.5,159,114.3,114,181.0,7.92,37,4,235.0,8 Holes,1+1/8'',170,1+1/4'' Dia,M30,22.46 kg,149.23,7.92,11.91,10.88 kg,1.6,121,37.5*,23*,97.18
5,350,50.8,190,141.3,127,216.0,7.92,41,4,279.4,8 Holes,1+1/4'',190,1+3/8'' Dia,M33,36.86 kg,180.98,7.92,11.91,14.48 kg,1.6,134,37.5*,23*,122.24
6,380,55.6,235,168.3,140,241.0,7.92,45,4,317.5,12 Holes,1+1/8'',195,1+1/4'' Dia,M30,48.26 kg,211.12,7.92,11.91,17.72 kg,1.6,147,37.5*,23*,146.36
8,470,63.5,298,219.1,162,308.0,7.92,49,4,393.7,12 Holes,1+3/8'',220,1+1/2'' Dia,M36,83.15 kg,269.88,7.92,11.91,30.22 kg,1.6,169,37.5*,23*,193.7
10,545,69.9,368,273.0,184,362.0,7.92,53,4,469.9,16 Holes,1+3/8'',235,1+1/2'' Dia,M36,120.92 kg,323.85,7.92,11.91,42.0 kg,1.6,191,37.5*,23*,247.7
12,610,79.4,419,323.8,200,419.0,7.92,57,4,533.4,20 Holes,1+3/8'',255,1+1/2'' Dia,M36,161.34 kg,381.0,7.92,11.91,55.32 kg,1.6,207,37.5*,23*,298.5
14,640,85.8,451,355.6,213,467.0,11.13,62,4,558.8,20 Holes,1+1/2'',280,1+5/8'' Dia,M39,183.86 kg,419.1,11.13,16.66,58.86 kg,1.6,220,37.5*,23*,330.2
16,705,88.9,508,406.4,216,524.0,11.13,66,4,616.0,20 Holes,1+5/8'',290,1+3/4'' Dia,M42,222.32 kg,469.9,11.13,16.66,73.46 kg,1.6,223,37.5*,23*,381.0
18,785,101.6,565,457.0,229,594.0,12.7,70,5,685.8,20 Holes,1+7/8'',335,2'' Dia,M48,297.82 kg,533.4,12.7,19.84,135.44 kg,1.6,236,37.5*,23*,431.6
20,855,108.0,622,508.0,248,648.0,12.7,74,5,749.3,20 Holes,2'',360,2+1/8'' Dia,M52,369.86 kg,584.2,12.7,19.84,169.67 kg,1.6,255,37.5*,23*,482.6
24,1040,139.7,749,610.0,292,772.0,15.88,78,6,901.7,20 Holes,2+1/2'',455,2+5/8'' Dia,M64,678.05 kg,692.15,15.88,26.97,353.38 kg,1.6,299,37.5*,23*,584.6
