Size,od,WallThk,Half OD,id,Wt per Unit Len,Wt Per Unit Length/Water
8,219.1,6.35,109.55,206.4,33.32,66.76
10,273,6.35,136.5,260.3,41.76,94.94
12,323.8,6.35,161.9,311.1,49.71,125.68
14,355.6,7.92,177.8,339.76,67.91,158.52
16,406.4,7.92,203.2,390.56,77.83,197.57
18,457,7.92,228.5,441.16,87.71,240.48
20,508,9.53,254,488.94,117.15,304.81
22,559,9.53,279.5,539.94,129.14,357.99
24,610,9.53,305,590.94,141.12,415.24
26,660,12.7,330,634.6,202.74,518.87
28,711,12.7,355.5,685.6,218.71,587.69
30,762,12.7,381,736.6,234.68,660.6
32,813,12.7,406.5,787.6,250.65,737.59
34,864,12.7,432,838.6,266.63,818.68
36,914,12.7,457,888.6,282.29,902.13
