size,od,WallThk,Half OD,id,Wt per Unit Len,Wt Per Unit Length/Water
0+1/4,13.7,1.85,6.85,10,0.54,0.61
0+3/8,17.1,1.85,8.55,13.4,0.7,0.84
0+1/2,21.3,2.41,10.65,16.48,1.12,1.33
0+3/4,26.7,2.41,13.35,21.88,1.44,1.81
1,33.4,2.9,16.7,27.6,2.18,2.77
1+1/4,42.2,2.97,21.1,36.26,2.87,3.9
1+1/2,48.3,3.18,24.15,41.94,3.53,4.91
2,60.3,3.18,30.15,53.94,4.48,6.76
2+1/2,73,4.78,36.5,63.44,8.04,11.19
3,88.9,4.78,44.45,79.34,9.92,14.86
3+1/2,101.6,4.78,50.8,92.04,11.41,18.06
4,114.3,4.78,57.15,104.74,12.91,21.52
8,219.1,7.04,109.55,205.02,36.82,69.81
10,273,7.8,136.5,257.4,51.01,103.01
12,323.8,8.38,161.9,307.04,65.19,139.19
14,355.6,9.53,177.8,336.54,81.33,170.23
16,406.4,9.53,203.2,387.34,93.27,211.04
18,457,11.13,228.5,434.74,122.38,270.74
20,508,12.7,254,482.6,155.13,337.95
22,559,12.7,279.5,533.6,171.1,394.61
24,610,14.27,305,581.46,209.65,475.05
28,711,15.88,355.5,679.24,272.23,634.4
30,762,15.88,381,730.24,292.2,710.8
32,813,15.88,406.5,781.24,312.17,791.28
34,864,15.88,432,832.24,332.14,875.84
36,914,15.88,457,882.24,351.73,962.73
