size,od,WallThk,Half OD,id,Wt per Unit Len,Wt Per Unit Length + Water
0+1/4,13.7,2.24,6.85,9.22,0.63,0.69
0+3/8,17.1,2.31,8.55,12.48,0.84,0.96
0+1/2,21.3,2.77,10.65,15.76,1.27,1.46
0+3/4,26.7,2.87,13.35,20.96,1.69,2.03
1,33.4,3.38,16.7,26.64,2.5,3.05
1+1/4,42.2,3.56,21.1,35.08,3.39,4.35
1+1/2,48.3,3.68,24.15,40.94,4.05,5.36
2,60.3,3.91,30.15,52.48,5.44,7.6
2+1/2,73,5.16,36.5,62.68,8.63,11.71
3,88.9,5.49,44.45,77.92,11.29,16.05
3+1/2,101.6,5.74,50.8,90.12,13.57,19.94
4,114.3,6.02,57.15,102.26,16.08,24.28
5,141.3,6.55,70.65,128.2,21.77,34.67
6,168.3,7.11,84.15,154.08,28.26,46.89
8,219.1,8.18,109.55,202.74,42.55,74.81
10,273,9.27,136.55,254.56,60.31,111.17
12,323.8,9.53,161.95,304.84,73.88,146.82
14,355.6,9.53,177.8,336.54,81.33,170.23
16,406.4,9.53,203.2,387.34,93.27,211.04
18,457,9.53,228.5,437.94,105.5,150.55
20,508,9.53,254,488.94,117.15,304.81
22,559,0,279.5,559,0,245.29
24,610,9.53,305,590.94,141.12,415.24
30,762,0,381,762,0,455.8
