size,od,WallThk,Half OD,id,Wt per Unit Len,Wt Per Unit Length/Water
0+1/4,13.7,1.2,6.85,12.5,0,0.14
0+3/8,17.1,1.2,8.55,15.9,0,0.22
0+1/2,21.3,1.65,10.65,18,0.8,1.05
0+3/4,26.7,1.65,13.35,23.4,1.03,1.45
1,33.4,1.65,16.7,30.1,1.29,2
1+1/4,42.2,1.65,21.1,38.9,1.65,2.83
1+1/2,48.3,1.65,24.15,45,1.9,3.48
2,60.3,1.65,30.15,57,2.39,4.94
2+1/2,73,2.11,36.5,68.78,3.69,7.4
3,88.9,2.11,44.45,84.68,4.52,10.14
3+1/2,101.6,2.11,50.8,97.38,5.18,12.62
4,114.3,2.11,57.15,110.08,5.84,15.35
5,141.3,2.77,70.65,135.76,9.46,23.92
6,168.3,2.77,84.15,162.76,11.31,32.1
8,219.1,2.77,109.55,213.56,14.78,50.58
10,273,3.4,136.5,266.2,22.61,78.23
12,323.8,3.96,161.9,315.88,31.24,109.56
14,355.6,3.96,177.8,347.68,34.34,129.23
16,406.4,4.19,203.2,398.02,41.56,165.91
18,457,4.19,228.5,448.62,46.79,204.77
20,508,4.78,254,498.44,59.32,254.34
22,559,4.78,279.5,549.44,65.33,302.3
24,610,5.54,305,598.92,82.58,364.16
30,762,6.35,381,749.3,118.34,559.07
