nb,od,WallThk,Half OD,id,Wt per Unit Len,Wt Per Unit Length + Water
0+1/8,10.3,2.41,5.15,5.48,0.47,0.5
0+1/4,13.7,3.02,6.85,7.66,0.8,0.84
0+3/8,17.1,3.2,8.55,10.7,1.1,1.18
0+1/2,21.3,3.73,10.65,13.84,1.62,1.77
0+3/4,26.7,3.91,13.35,18.88,2.2,2.47
1,33.4,4.55,16.7,24.3,3.24,3.7
1+1/4,42.2,4.85,21.1,32.5,4.47,5.29
1+1/2,48.3,5.08,24.15,38.14,5.41,6.55
2,60.3,5.54,30.15,49.22,7.48,9.38
2+1/2,73,7.01,36.5,58.98,11.41,14.14
3,88.9,7.62,44.45,73.66,15.27,19.52
3+1/2,101.6,8.08,50.8,85.44,18.64,24.37
4,114.3,8.56,57.15,97.18,22.32,29.73
5,141.3,9.53,70.65,122.24,30.97,42.69
6,168.3,10.97,84.15,146.36,42.56,59.37
8,219.1,12.7,109.55,193.7,64.64,94.09
10,273,12.7,136.55,247.7,81.56,129.72
12,323.8,12.7,161.95,298.5,97.47,167.41
14,355.6,12.7,177.8,330.2,107.4,192.99
16,406.4,12.7,203.2,381,123.31,237.26
18,457,12.7,228.5,431.6,138.11,146.22
20,508,12.7,254,482.6,155.13,337.95
22,559,12.7,279.5,559,171.55,245.29
24,610,12.7,305,584.6,187.07,455.34
30,762,0,381,762,0,455.8
