nb,dn,od,WallThk,Half OD,id,Wt per Unit Len,Wt Per Unit Length + Water
0+1/8,6,10.3,1.24,5.15,8.5873,0.37,0.4
0+1/4,8,13.7,2.24,6.85,9.22,0.63,0.69
0+3/8,10,17.1,2.31,8.55,12.48,0.84,0.96
0+1/2,15,21.3,2.77,10.65,15.76,1.27,1.46
0+3/4,20,26.7,2.87,13.35,20.96,1.69,2.03
1,25,33.4,3.38,16.7,26.64,2.5,3.05
1+1/4,32,42.2,3.56,21.1,35.08,3.39,4.35
1+1/2,40,48.3,3.68,24.15,40.94,4.05,5.36
2,50,60.3,3.91,30.15,52.48,5.44,7.6
2+1/2,65,73,5.16,36.5,62.68,8.63,11.71
3,80,88.9,5.49,44.45,77.92,11.29,16.05
3+1/2,90,101.6,5.74,50.8,90.12,13.57,19.94
4,100,114.3,6.02,57.15,102.26,16.08,24.28
5,125,141.3,6.55,70.65,128.2,21.77,34.67
6,150,168.3,7.11,84.15,154.08,28.26,46.89
8,200,219.1,8.18,109.55,202.74,42.55,74.81
10,250,273,9.27,136.5,254.46,60.29,111.11
12,300,323.8,9.53,161.9,304.74,73.86,146.76
14,350,355.6,9.53,177.8,336.54,81.33,170.23
16,400,406.4,9.53,203.2,387.34,93.27,211.04
18,450,457,9.53,228.5,437.94,105.17,255.72
20,500,508,9.53,254,488.94,117.15,304.81
22,550,559,9.53,279.5,539.94,129.14,357.99
24,600,610,9.53,305,590.94,141.12,415.24
26,650,660,9.53,330,640.94,152.88,475.36
28,700,711,9.53,355.5,691.94,164.86,540.7
30,750,762,9.53,381,742.94,176.85,610.13
32,800,813,9.53,406.5,793.94,188.83,683.64
34,850,864,9.53,432,844.94,200.82,761.25
36,900,914,9.53,457,894.94,212.57,841.29
38,950,965,9.53,482.5,945.94,224.56,926.97
40,1000,1016,9.53,508,996.94,236.54,1016.74
42,1050,1067,9.53,533.5,1047.94,248.53,1110.59
44,1100,1118,9.53,559,1098.94,260.52,1208.54
46,1150,1168,9.53,584,1148.94,272.27,1308.51
48,1200,1219,9.53,609.5,1199.94,284.25,1414.53
