nb,dn,od,WallThk,Half OD,id,Wt per Unit Len,Wt Per Unit Length + Water
0+1/2,15,21.3,7.47,10.65,6.36,2.55,2.58
0+3/4,20,26.7,7.82,13.35,11.06,3.64,3.73
1,25,33.4,9.09,16.7,15.22,5.45,5.63
1+1/4,32,42.2,9.7,21.1,22.8,7.77,8.17
1+1/2,40,48.3,10.15,24.15,28,9.55,10.16
2,50,60.3,11.07,30.15,38.16,13.44,14.58
2+1/2,65,73,14.02,36.5,44.96,20.39,21.97
3,80,88.9,15.24,44.45,58.42,27.68,30.35
4,100,114.3,17.12,57.15,80.06,41.03,46.06
5,125,141.3,19.05,70.65,103.2,57.43,65.79
6,150,168.3,21.95,84.15,124.4,79.22,91.36
8,200,219.1,22.23,109.55,174.64,107.93,131.87
10,250,273,25.4,136.5,222.2,155.1,193.85
12,300,323.8,25.4,161.9,273,186.92,245.42
